date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
229;489.6801209;61.2
230;493.7276781;61.77
231;493.5460929;63.26
232;496.9793153;59.78
233;496.2386922;59.4
234;499.7708816;59.5
235;496.0372567;59.1
236;499.4931886;59.3
237;498.1787513;57.8
238;500.3108043;59.64
239;500.9548514;62.55
240;503.0248452;63.71
241;509.8033486;61.35
242;518.3260185;61.54
243;520.0377951;62.76
244;525.5259026;64.4
245;531.3735654;61.31
246;536.7030298;63.5
247;537.1710919;62.14
248;537.2034001;65.05
249;541.4026562;58.28
250;544.6918611;62.01
251;548.8136278;66.71
252;552.611709;70.68
253;551.7669068;58.62
254;552.7862904;62.81
255;555.2500927;70
256;551.5607371;70.9
257;555.7832798;60.82
258;551.8890754;62.16
259;547.8683964;71.9
260;541.6866553;76
261;542.8999157;68
262;536.0667999;68.6
263;534.6209925;71.89
264;529.7946818;71.5
265;525.0700214;73.43
266;527.6656048;70.71
267;529.6929896;70.2
268;531.0326067;68.3
269;528.8077947;75.91
270;538.5155754;73.1
271;548.9811952;65.3
272;557.0727004;59.6
273;543.8782246;80.4
274;552.4398253;72.93
275;561.5953318;60.25
276;563.6464934;51.45
277;556.3929821;69.16
278;557.9871444;66.05
279;564.1749329;58.2
280;566.6982597;49.42
281;565.8102063;72.29
282;567.7687738;64
283;574.8130308;54.44
284;574.3466206;44.56
285;582.9054941;67.58
286;576.6326097;59.03
287;577.306009;50.24
288;576.4729906;40.63
289;582.2883889;63.57
290;578.97462;55.99
291;584.0504637;45.84
292;586.4254164;38.87
293;581.1167386;60.49
294;577.3995045;53.22
295;573.9030518;46.29
296;573.5817368;40.8
297;567.7819277;57.24
298;570.65312;49.45
299;569.5703308;45.04
300;570.7714862;41.2
301;550.5258119;54.34
302;548.2880481;48.47
303;546.8436885;43.7
304;543.3734163;41.1
305;520.7492999;45.38
306;517.60476;44.28
307;511.7996024;46.21
308;504.4783578;46.47
309;495.4224313;42.4
310;492.0381881;41.44
311;488.238831;48.57
312;477.9201923;50.19
313;472.467227;33.09
314;466.0147559;45.63
315;459.5598337;55.38
316;459.8301087;61.9
317;458.4064617;35.37
318;454.1084029;50.37
319;448.5831957;64.99
320;444.7277685;70.07
321;453.4449136;56.43
322;452.8404465;62.5
323;451.1768886;61.56
324;449.8219455;58.6
325;448.0338005;57.5
326;441.8383405;56.69
327;439.2881206;57
328;440.7636014;52.8
329;434.2514932;58.39
330;433.1249048;56.4
331;431.7848255;54.4
332;430.3816405;51.3
333;426.8458215;54.8
334;424.7201124;56.6
335;423.3647205;57
