date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
1;450.3436471;44.24
2;457.6569449;35.58
3;457.8657402;22.79
4;459.11233;9.36
5;452.284072;41.17
6;454.0124379;33.69
7;452.0036234;17
8;453.3467953;10.14
9;430.0721594;30.3
10;432.5031203;26.36
11;433.5864379;21
12;435.1824132;18.34
13;433.1438643;23.23
14;434.8468681;21.65
15;435.0090701;23
16;434.727714;24.53
17;442.6847568;12.46
18;442.7999159;22.11
19;444.6631078;24.94
20;446.9859362;24.92
21;447.1966902;19.54
22;444.7818651;22.11
23;446.990989;22.57
24;449.713708;24.98
25;454.3433491;20.1
26;456.1817556;20
27;450.8912046;22.76
28;442.4889405;29.14
29;452.6595008;14.77
30;453.4399358;22.75
31;451.7141773;30.41
32;455.733375;35.67
33;470.4033032;15.5
34;479.268203;24.92
35;473.0412894;26.95
36;469.0696198;33.85
37;457.0089122;24.72
38;451.1464718;28.44
39;445.8209239;28.71
40;440.1815932;24.65
41;433.257629;28.12
42;430.9879513;25
43;427.3380391;24.87
44;419.9899122;28.4
45;419.0840806;21.37
46;409.8758034;25.61
47;402.6391232;28.55
48;401.5963337;31.22
49;402.1167169;32.42
50;397.5280715;30.09
51;398.5923197;26.67
52;397.5873135;19.02
53;391.348841;32.15
54;388.344569;25.84
55;388.1386886;26.01
56;391.7724973;24
57;403.4500173;26
58;408.6793468;25.76
59;413.4442613;32.26
60;416.237155;28
61;436.3338723;23.14
62;446.6437301;27.3
63;452.9961977;32.09
64;451.6562521;41.35
65;465.5297153;24.67
66;462.5336036;29
67;459.5176283;39.08
68;447.1231443;46.19
69;469.0388868;32.55
70;460.4757903;36.56
71;458.9256551;41.08
72;455.5655424;45.21
73;444.1947062;43.06
74;438.8499732;39.28
75;433.6032129;37.67
76;431.5040931;32
77;422.3442473;45.14
78;424.3942802;35.84
79;426.2172083;31.9
80;429.8421499;25.52
81;415.44746;43.69
82;417.3382438;40.55
83;417.6997706;30.21
84;425.8058211;25.52
85;405.7061121;40.23
86;408.0429959;34.09
87;407.7597751;26.95
88;409.6962064;28.74
89;406.508493;42.95
90;410.7111183;34.87
91;413.3148743;26.9
92;417.9903585;17.68
93;413.7195361;44.72
94;414.4053841;39.12
95;420.5074781;24.17
96;425.0122283;6.21
97;411.7708538;38.72
98;411.6262446;25.67
99;420.6309195;20.2
100;425.7003884;4.5
101;420.3898349;30.84
102;424.2840951;22.71
103;423.2170636;14.2
104;422.3727989;6.98
105;426.2897423;25.07
106;425.4830569;19.9
107;424.9220543;16.4
108;427.3384677;14.93
109;427.5849675;16.41
110;427.2315811;16.09
111;431.4168958;15.05
112;425.9115944;16.7
113;414.065353;13.71
114;405.712695;15.03
115;402.0088353;21.2
116;400.7649955;24.82
117;410.3886607;13.61
118;407.8982643;14.8
119;416.1422136;24.77
120;412.0161661;46.87
121;427.5937739;8.23
122;432.4677039;21.91
123;427.353631;44.43
124;420.3271735;49.51
125;445.0693417;21.24
126;443.1197539;30.66
127;433.100605;50.38
128;428.7162538;52.78
129;424.9906062;32.29
130;421.2896446;51.4
131;422.1040374;48.9
132;417.7943276;36.36
133;403.7050527;45.79
134;392.2067135;56.68
135;388.3661677;43.69
136;391.2476003;26.1
137;365.5908172;46.99
138;364.5320021;48
139;360.9393065;46.6
140;359.745302;26.3
141;365.3859161;34.12
142;365.2072832;46.68
143;367.3818671;46.27
144;366.6839283;36.9
145;368.341461;33.48
146;370.3133215;43.29
147;371.8393632;53.74
148;375.8636348;27.45
149;379.7422935;37.09
150;380.6451957;41
151;379.7296647;40.95
152;381.1193303;33.75
153;387.941857;25.67
154;379.7631579;39.8
155;378.4579724;42.07
156;385.0882175;44.53
157;388.1225121;26.79
158;388.3695961;38.2
159;392.3392323;43.98
160;392.189504;47.66
161;392.2413081;34.95
162;390.299905;41.79
163;384.5437165;43.64
164;381.4632977;43.6
165;379.2943546;45.02
166;374.0780961;45.04
167;371.0547352;46.41
168;370.7012778;43.5
169;372.0745902;53.1
170;373.6253457;44.84
171;373.8434721;43.78
172;376.1708092;36.14
173;366.0028271;48.79
174;366.0523215;41.55
175;368.9738375;38.66
176;372.6916598;27
177;358.2643344;60.42
178;357.6153795;45.6
179;355.1943555;26.7
180;351.4289323;21.54
181;346.1992447;46.23
182;346.1509661;41.4
183;343.9364165;22
184;347.0419135;14.41
185;346.2638579;44.5
186;347.1936227;41.5
187;346.7396385;21.7
188;340.415978;10.52
189;322.0152769;43.02
190;304.561484;31.77
191;300.0437525;17.88
192;299.8598506;-2.92
193;294.5456298;36.82
194;298.2732475;27.34
195;300.0180804;20
196;298.0940013;1.84
197;283.8016972;29.81
198;282.6649642;22.85
199;279.4342668;14.45
200;277.3493935;3.43
201;268.0270757;17.69
202;264.5740173;15.85
203;264.8908351;14.78
204;265.8153167;11.65
205;263.7513935;7
206;263.3613158;9
207;263.0395684;11.73
208;262.1743711;12.73
209;257.3967508;2.25
210;257.0178976;4.13
211;256.6989628;16.29
212;255.472194;17.99
213;252.0922606;2.76
214;250.9139268;7.14
215;250.8222143;19.5
216;251.3369252;33
217;254.5360607;2.89
218;255.6175013;21.05
219;255.9860892;35.31
220;255.8256853;46.75
221;261.2125628;17.53
222;269.5704377;29
223;273.5168754;45.58
224;276.2160203;40.69
225;287.3019701;29.84
226;285.3029278;40.2
227;288.2635565;42.19
228;288.2553538;35.74
229;280.2513401;36.65
230;279.9716703;41.59
231;278.3045568;38.04
232;276.7656372;33.69
233;278.9345993;38.07
234;276.77642;40.15
235;274.1725712;36.44
236;273.7342737;33.41
237;276.3435897;34.96
238;276.4088151;40.63
239;278.0623724;37.16
240;279.2165533;37.34
241;283.0453799;36.25
242;286.822307;39.57
243;290.565502;37.4
244;289.3161242;36.78
245;286.1352019;33.28
246;288.1727543;34.22
247;290.5644423;37.61
248;288.6636963;41.01
249;287.1924407;31.91
250;288.279423;33.87
251;290.9989173;38.6
252;294.2629901;41.66
253;289.1658809;29.35
254;288.2337866;35.29
255;286.6596279;41.25
256;283.7310237;43.26
257;292.2117231;30.21
258;291.3092639;36.29
259;289.8645695;41.44
260;286.4475914;49.33
261;294.520092;37.88
262;292.3254869;40.82
263;289.227986;41.13
264;287.2577252;42.31
265;280.9108952;40.7
266;276.8794162;39.54
267;274.4286519;42.21
268;271.7712854;39.56
269;263.6773693;47.85
270;261.0093366;39.74
271;260.4221228;37.61
272;262.9020607;29.89
273;247.5597126;50.95
274;248.562162;39.6
275;248.352382;33.54
276;247.9008072;24.13
277;242.046451;37.07
278;241.561977;36.85
279;241.5054842;31.01
280;242.6426997;21.03
281;239.1641919;48.42
282;238.1185804;36.33
283;240.7336577;22
284;241.6980429;9.3
285;241.009422;42.75
286;239.5142394;33.39
287;242.1810989;20
288;238.7350118;1.5
289;230.7291242;31.07
290;233.2496046;25.98
291;234.5812222;18.22
292;235.6688118;4.16
293;233.8544891;19.66
294;233.7759955;14.61
295;238.3556139;13.06
296;243.1143168;5.43
297;242.0954785;11.07
298;246.1010414;9.1
299;248.628629;6.91
300;254.5257265;3.32
301;256.4009215;10.25
302;257.3444312;6.2
303;254.7077588;4.27
304;248.661684;2.94
305;241.5630653;1.4
306;240.3308368;1.93
307;238.6729308;1.69
308;238.4112805;-0.01
309;239.5995055;-2.29
310;239.8834221;-2.87
311;240.0211206;3.66
312;236.7282661;8.31
313;232.4668327;-7.84
314;229.1429829;-3.5
315;229.744613;1.68
316;229.2129006;3.65
317;230.7704199;-4.1
318;231.3927752;-0.27
319;227.543544;8.42
320;229.2930768;11.33
321;233.0365182;9.56
322;233.5778644;15.51
323;233.2195733;19.09
324;235.4606299;17.74
325;238.7901929;19.9
326;238.6672199;20
327;236.0983801;21
328;233.9356601;19.11
329;230.5074259;19.8
330;224.5591353;19.73
331;222.5248785;17.67
332;221.6431359;16.7
333;218.2518604;18.35
334;218.4363119;21.34
335;218.3938993;18.71
336;218.9920305;21.6
337;223.5953269;26.69
338;223.0739922;15.37
339;222.3303212;15.28
340;222.5221497;10.62
341;217.2992391;13.94
342;219.205648;13.94
343;223.1023944;19
344;229.7102832;19.11
345;237.1718089;13.7
346;237.5676789;13.4
347;239.7017867;23.92
348;243.2740397;23.06
349;250.9067953;8.66
350;253.0720598;17.46
351;254.6290597;22.17
352;254.0416318;27.27
353;255.513207;12.25
354;259.9754066;22.02
355;260.4694995;30.39
356;269.5847716;37.35
357;278.9287912;23.71
358;279.4373484;29.01
359;280.8335658;35.35
360;281.9748601;39.19
361;282.6425508;31.23
362;286.2853844;32.06
363;287.726963;35.68
364;290.6816387;35.78
365;293.3878077;36.2
366;295.3345575;34.17
367;298.7033825;33.43
368;302.6506781;32.71
369;310.0637086;40.02
370;319.3336486;36.91
371;327.6806361;29.27
372;333.1393603;25.48
373;326.4418186;33.06
374;328.3485706;33.77
375;331.0072426;30.06
376;337.001597;29.08
377;346.0243614;41.31
378;352.3618199;34.62
379;357.3947581;30.17
380;363.0279622;23.87
381;368.606886;41.65
382;373.6451938;37.67
383;373.451516;30.85
384;377.6420019;14.81
385;385.1507769;36.05
386;385.8157542;31.59
387;392.647485;30.36
388;400.696733;17.53
389;405.1711053;32.93
390;407.9377059;30.32
391;410.5052294;26.95
392;417.3903773;19.79
393;413.0219575;27.2
394;415.0314095;28
395;416.429615;26.32
396;417.1989803;26.01
397;416.4616292;27.65
398;416.4241692;26.22
399;418.6318559;27.43
400;421.6087125;26.67
401;434.8214644;22.57
402;435.282365;23.96
403;436.1404464;28.34
404;436.5327959;27.96
405;436.8913023;28.06
406;443.0033215;18.91
407;441.1593604;24.74
408;443.2801411;30.33
409;442.4199888;23.12
410;439.5519212;25.97
411;442.8750377;28
412;442.9621907;29.92
413;449.3299441;21.32
414;448.6387584;25.57
415;442.5061527;32.28
416;442.0661282;36.67
417;448.3603702;24.62
418;447.6722238;28.62
419;444.9629085;34.85
420;441.9446973;37.91
