date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
1;216.5324961;75.01
2;215.780478;-29.95
3;214.100246;-29.98
4;216.669911;-30
5;208.1141959;26.81
6;208.0641406;-29.92
7;212.5605565;-29.94
8;211.7106693;-29.95
9;213.1490965;-29.92
10;212.7426671;-29.93
11;217.1168668;-29.94
12;217.3036227;-29.94
13;226.1422516;-29.92
14;230.173088;-29.93
15;232.3190495;-29.94
16;233.8708071;-29.94
17;230.6104952;-29.9
18;232.7655234;-29.93
19;234.7454129;-29.93
20;234.000994;-29.94
21;231.0565817;0.84
22;232.293946;-29.92
23;232.393419;-29.92
24;232.8028847;-29.93
25;234.9642022;11.73
26;236.7025137;-29.91
27;237.2246644;-29.91
28;237.6269032;-29.91
29;228.3626467;-29.9
30;227.9447495;-29.9
31;226.4685825;-29.9
32;227.4587812;17.7
33;228.1903965;-30
34;229.0706543;-29.9
35;227.0699932;-29.9
36;225.157483;5.21
37;219.2197395;-30
38;217.3512905;-29.9
39;214.9632557;-29.9
40;214.1364404;91.99
41;208.3768198;-29.9
42;208.4701582;-29.9
43;207.6485058;-29.9
44;206.9614583;91.35
45;206.2740861;-30
46;203.5728277;-29.9
47;201.9624669;-29.9
48;201.8202856;91.57
49;203.3124599;-29.9
50;205.3945192;125.69
51;207.2269837;-29.91
52;210.2845669;-29.92
53;214.8854344;136.41
54;218.8366008;-29.94
55;221.6890795;-29.95
56;223.9482038;-29.97
57;219.2257575;168.3
58;218.8428925;-29.93
59;220.3114015;-29.93
60;218.4413919;-29.93
61;219.4341064;271.2
62;218.2137021;-29.9
63;217.6617837;-29.9
64;217.2329369;-29.9
65;229.9177861;-29.9
66;232.0045444;-29.9
67;230.3216767;-29.9
68;227.8697342;279.26
69;230.2201111;-30
70;229.1800687;-30
71;230.8272007;-29.9
72;228.9220961;480.14
73;235.7151024;-30
74;239.2134089;-29.9
75;240.478225;-29.9
76;245.0974376;499.9
77;240.0555923;-29.9
78;243.5615625;-29.9
79;244.351112;376.56
80;246.8699805;-29.9
81;242.2617727;277.06
82;243.8445391;-29.9
83;247.5855846;-30
84;251.0588127;-30
85;237.1133709;253.71
86;239.2343694;-29.9
87;243.5806753;-29.9
88;246.4717455;-29.9
89;245.8738432;219.7
90;248.4214115;-29.92
91;252.0667235;-29.94
92;259.542565;-29.95
93;257.547476;184.69
94;262.4526243;-29.94
95;267.1642839;-29.96
96;276.5238539;-29.98
97;285.9342953;149.91
98;295.7334499;-29.95
99;305.0407979;-29.97
100;309.4658502;-29.99
101;305.2442862;109.25
102;310.0980116;-29.92
103;312.1364109;-29.93
104;315.032763;-29.94
105;301.5090556;94.88
106;299.799037;-29.91
107;301.4285873;-29.9
108;302.5562264;-29.9
109;300.2350724;-29.91
110;300.9713218;-29.92
111;297.6396887;-29.92
112;296.0183983;96.35
113;292.5638396;-53.12
114;298.003562;-30
115;304.7726544;-29.97
116;307.3971025;161.08
117;314.5368658;-139.97
118;315.758711;-139.94
119;308.4755095;-59.93
120;297.8290977;622.41
121;305.0608589;-59.94
122;310.7569753;-29.97
123;316.0336516;-29.91
124;317.6923702;499.95
125;328.5115972;-30
126;333.1261132;-30
127;334.4655402;104.24
128;324.304331;499.96
129;328.976158;-30
130;330.2514153;-30
131;330.7818144;33.76
132;332.4531639;499.91
133;326.9862954;-29.9
134;331.8456294;-29.9
135;334.2162788;23.96
136;335.8869623;499.94
137;328.8588887;42.39
138;330.1603914;-29.9
139;335.8279727;-29.9
140;336.810269;499.91
141;330.9783017;449.69
142;331.0580088;-29.9
143;332.8084016;-29.9
144;331.1400297;-29.9
145;330.2847005;499.91
146;332.9766987;-29.9
147;336.2639799;-20.42
148;338.8266502;-29.91
149;343.007851;499.93
150;349.0301907;-3.81
151;352.812632;-29.91
152;354.4009743;-29.91
153;360.8422068;499.94
154;362.6327039;-29.9
155;363.8536812;-29.9
156;365.7626126;-3.09
157;379.1258227;499.91
158;382.9996863;-0.12
159;382.4927551;-29.9
160;379.6202351;-29.9
161;387.8171672;499.92
162;389.6603332;-29.9
163;382.332459;141.82
164;375.3400099;-29.9
165;370.3380359;416.17
166;366.1732195;-29.9
167;364.8860723;-29.9
168;364.3628907;239.59
169;362.2410226;499.92
170;362.5173284;132.79
171;366.0299694;-29.9
172;370.7061564;-29.9
173;365.4149359;499.95
174;372.8687967;99.95
175;379.8255121;-29.9
