date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
1;540.0437679;75.83
2;538.6002681;63.16
3;542.6694471;54.65
4;541.9275823;35.5
5;535.3241323;64.66
6;535.3176002;54.86
7;539.6026512;45
8;543.19433;39.31
9;558.2999767;54.26
10;563.9937387;49.42
11;579.5175715;34.93
12;585.4501201;30.72
13;602.2920322;46.63
14;612.9135844;42.09
15;629.226283;32.67
16;639.3282688;33.54
17;644.2333884;46.06
18;635.9201863;37.6
19;635.690249;37.19
20;640.1466663;32.4
21;621.4427207;55.6
22;626.3590638;48.46
23;633.0753823;34.5
24;646.7996781;6.38
25;631.7227157;39.3
26;636.1409241;29.41
27;627.9097316;18.05
28;619.3391584;26.37
29;607.8748324;19.28
30;590.5323751;23.78
31;586.7987088;35.74
32;587.737894;47.64
33;599.6509651;14.76
34;597.3612442;26.65
35;594.1125897;39.9
36;585.5927337;45.48
37;585.1581406;30.47
38;575.1221576;25.24
39;566.4537035;42.25
40;548.6607716;43.17
41;553.5042634;35.09
42;542.5736091;36.73
43;524.164585;40.72
44;514.6035495;46
45;518.7280934;39.69
46;511.9868539;41.83
47;514.300598;49.22
48;499.7927675;49.27
49;495.2222798;49.56
50;494.9626924;46.72
51;495.6389823;45.2
52;497.6766675;33.16
53;500.5755515;50.2
54;502.6921422;44.38
55;503.7274543;42.53
56;509.1666628;40.84
57;511.8322737;39.9
58;518.0521078;42.68
59;522.3177262;45.07
60;526.3345977;46.56
61;536.4989176;35.34
62;542.0906009;43.3
63;543.7817576;48.67
64;540.4478505;51.57
65;529.4578421;33.94
66;516.7454653;42.73
67;510.4646528;52.25
68;499.6145827;64.47
69;511.6814907;42.25
70;510.1823943;51.53
71;505.5911962;58.63
72;502.0749539;60.63
73;498.2943837;56.51
74;496.9726328;54.16
75;493.7515687;49.19
76;497.2041026;55.23
77;498.2343777;60.8
78;505.3879857;56.57
79;508.1336479;51.38
80;509.0390565;43.16
81;500.9866227;69.7
82;510.0795562;55.93
83;513.7099582;47.19
84;517.3992964;39.18
85;508.0256069;56.95
86;512.2410329;49.62
87;507.010661;42.56
88;509.789694;53.16
89;491.5693997;56.49
90;498.2269762;69.97
91;502.1784611;57.45
92;508.0478142;35.81
93;516.4616333;64.32
94;523.0790016;52.18
95;533.0216717;55.39
96;540.9913447;37.06
97;559.3308123;57.5
98;567.1450912;58.69
99;571.1879424;53.22
100;574.2393358;40.68
101;586.6990192;55.26
102;592.0265062;51.35
103;595.3221039;46.6
104;595.5503434;46.3
105;588.6037976;65.37
106;590.1923515;52.24
107;591.4871069;52.5
108;592.9065978;25.9
109;586.5313145;77.54
110;588.9556299;51.2
111;589.3531123;23.64
112;592.7265247;27.9
113;595.7360916;50.72
114;597.3893545;54.2
115;598.2607741;25
116;602.2117285;28.76
117;585.9102187;48.28
118;584.4972859;48.13
119;579.9194072;45
120;578.5064734;24.31
121;564.2458711;30.3
122;566.3484988;23.07
123;570.7763611;24.52
124;572.908739;44.3
125;569.7338734;13.76
126;568.409551;23.89
127;564.1642358;53.55
128;564.8051983;75.91
129;581.7519057;25.57
130;582.8373027;40.13
131;580.9472502;61.84
132;578.4583637;71.25
133;560.601499;47.64
134;552.9826927;56.24
135;553.100584;62.63
136;545.5567333;60.27
137;546.7554542;53.5
138;546.399423;57.05
139;546.146868;59.07
140;545.1308278;57.99
141;551.1245102;49.45
142;547.663569;55.49
143;545.6736932;61.77
144;544.5179227;59.25
145;542.77552;59.9
146;544.6525103;64.52
147;546.6860731;59.3
148;551.3874634;53.5
149;551.5245961;63.86
150;553.8570423;59.37
151;558.3819449;55.6
152;561.3621835;51.4
153;557.3111878;58.52
154;559.5900017;55.98
155;561.701972;57.2
156;563.7064838;57.61
157;573.0406069;50.7
158;574.4717153;57.12
159;577.5655143;55.6
160;579.3316925;63.92
161;567.8731964;45.7
162;561.5534301;50.5
163;558.7207841;59.48
164;545.2757966;70.96
165;543.6243151;48.4
166;533.5961049;53.69
167;529.0698451;71.48
168;525.1624345;72.94
169;518.9777237;66.74
170;525.9415848;66.19
171;527.8502185;62.49
172;531.1661853;56.5
173;530.0643155;77.02
174;536.8311577;64.9
175;539.4740306;56.42
176;545.9528717;44.05
177;528.3922502;79.96
178;536.4533902;61.38
179;539.4701273;41.89
180;544.0615681;33.58
181;540.5767789;56.84
